date,open,high,low,close
2024-09-03 00:00:00,1.10673,1.10675,1.1067,1.10672
2024-09-03 00:01:00,1.10672,1.10678,1.10661,1.1067
2024-09-03 00:02:00,1.1067,1.10671,1.10662,1.10666
2024-09-03 00:03:00,1.10665,1.10665,1.10655,1.10655
2024-09-03 00:04:00,1.10654,1.10666,1.10648,1.10666
2024-09-03 00:05:00,1.10666,1.1067,1.10665,1.1067
2024-09-03 00:06:00,1.1067,1.1067,1.10662,1.10666
2024-09-03 00:07:00,1.10667,1.10669,1.1066,1.10661
2024-09-03 00:08:00,1.10662,1.10665,1.10658,1.10664
2024-09-03 00:09:00,1.10665,1.10666,1.10658,1.10662
2024-09-03 00:10:00,1.10663,1.10673,1.10661,1.10669
2024-09-03 00:11:00,1.1067,1.10672,1.10662,1.10672
2024-09-03 00:12:00,1.10673,1.1068,1.10671,1.10672
2024-09-03 00:13:00,1.10672,1.10679,1.10672,1.10678
2024-09-03 00:14:00,1.10677,1.10685,1.10675,1.1068
2024-09-03 00:15:00,1.10679,1.10679,1.10667,1.10669
2024-09-03 00:16:00,1.10669,1.1067,1.10668,1.1067
2024-09-03 00:17:00,1.1067,1.10674,1.10667,1.1067
2024-09-03 00:18:00,1.1067,1.10675,1.10668,1.1067
2024-09-03 00:19:00,1.1067,1.10673,1.10666,1.10673
2024-09-03 00:20:00,1.10674,1.10677,1.10671,1.10676
2024-09-03 00:21:00,1.10675,1.10676,1.10668,1.10669
2024-09-03 00:22:00,1.10668,1.10669,1.10662,1.10668
2024-09-03 00:23:00,1.10669,1.1068,1.10666,1.10679
2024-09-03 00:24:00,1.10679,1.10685,1.10677,1.10679
2024-09-03 00:25:00,1.10678,1.10682,1.10676,1.10682
2024-09-03 00:26:00,1.1068,1.10689,1.10677,1.10688
2024-09-03 00:27:00,1.10689,1.10689,1.1068,1.1068
2024-09-03 00:28:00,1.1068,1.10683,1.10674,1.10682
2024-09-03 00:29:00,1.10682,1.10682,1.10675,1.10678
2024-09-03 00:30:00,1.10678,1.1068,1.1067,1.1067
2024-09-03 00:31:00,1.1067,1.10672,1.10658,1.10662
2024-09-03 00:32:00,1.10662,1.10665,1.1066,1.10665
2024-09-03 00:33:00,1.10664,1.10668,1.10657,1.10659
2024-09-03 00:34:00,1.1066,1.10661,1.10651,1.10654
2024-09-03 00:35:00,1.10653,1.10654,1.10644,1.10652
2024-09-03 00:36:00,1.10651,1.10652,1.1064,1.10644
2024-09-03 00:37:00,1.10643,1.10643,1.1063,1.10632
2024-09-03 00:38:00,1.10632,1.1064,1.10632,1.10638
2024-09-03 00:39:00,1.10638,1.10638,1.10627,1.10632
2024-09-03 00:40:00,1.10633,1.10635,1.10626,1.10627
2024-09-03 00:41:00,1.10628,1.1063,1.10626,1.1063
2024-09-03 00:42:00,1.10629,1.10638,1.10627,1.10632
2024-09-03 00:43:00,1.10633,1.10635,1.10631,1.10632
2024-09-03 00:44:00,1.10633,1.10635,1.10626,1.10627
2024-09-03 00:45:00,1.10626,1.10634,1.10622,1.10623
2024-09-03 00:46:00,1.10622,1.10624,1.1062,1.10622
2024-09-03 00:47:00,1.10622,1.10637,1.10622,1.10632
2024-09-03 00:48:00,1.10631,1.10635,1.10626,1.10634
2024-09-03 00:49:00,1.10634,1.10636,1.10627,1.1063
2024-09-03 00:50:00,1.1063,1.10632,1.10617,1.10618
2024-09-03 00:51:00,1.10619,1.1062,1.10604,1.10605
2024-09-03 00:52:00,1.10605,1.10612,1.10596,1.10602
2024-09-03 00:53:00,1.10602,1.10606,1.10596,1.10606
2024-09-03 00:54:00,1.10607,1.10608,1.10599,1.10604
2024-09-03 00:55:00,1.10604,1.10608,1.10602,1.10603
2024-09-03 00:56:00,1.10602,1.10604,1.10592,1.10596
2024-09-03 00:57:00,1.10597,1.10605,1.10594,1.10598
2024-09-03 00:58:00,1.10598,1.106,1.10596,1.10598
2024-09-03 00:59:00,1.10598,1.10607,1.10596,1.10607
2024-09-03 01:00:00,1.10607,1.1061,1.10602,1.10602
2024-09-03 01:01:00,1.10602,1.10612,1.10602,1.1061
2024-09-03 01:02:00,1.10609,1.10613,1.10605,1.10606
2024-09-03 01:03:00,1.10606,1.10609,1.10601,1.10607
2024-09-03 01:04:00,1.10608,1.1061,1.10607,1.1061
2024-09-03 01:05:00,1.1061,1.10612,1.10606,1.10612
2024-09-03 01:06:00,1.10612,1.10612,1.10606,1.10608
2024-09-03 01:07:00,1.10609,1.10622,1.10609,1.1062
2024-09-03 01:08:00,1.10619,1.10625,1.10617,1.10625
2024-09-03 01:09:00,1.10626,1.10635,1.10626,1.10634
2024-09-03 01:10:00,1.10635,1.10636,1.10632,1.10633
2024-09-03 01:11:00,1.10632,1.10635,1.10631,1.10634
2024-09-03 01:12:00,1.10633,1.10636,1.10632,1.10636
2024-09-03 01:13:00,1.10636,1.10644,1.10633,1.10636
2024-09-03 01:14:00,1.10635,1.1064,1.10632,1.10632
2024-09-03 01:15:00,1.10633,1.10646,1.10633,1.10646
2024-09-03 01:16:00,1.10647,1.10648,1.10642,1.10642
2024-09-03 01:17:00,1.10641,1.10652,1.10638,1.10652
2024-09-03 01:18:00,1.10651,1.10652,1.10646,1.1065
2024-09-03 01:19:00,1.10651,1.10653,1.10644,1.10644
2024-09-03 01:20:00,1.10645,1.10654,1.10645,1.1065
2024-09-03 01:21:00,1.1065,1.10653,1.10632,1.10632
2024-09-03 01:22:00,1.10633,1.10634,1.10623,1.10627
2024-09-03 01:23:00,1.10628,1.10629,1.10616,1.10619
2024-09-03 01:24:00,1.1062,1.10624,1.10611,1.10616
2024-09-03 01:25:00,1.10616,1.10622,1.10615,1.10618
2024-09-03 01:26:00,1.10618,1.10628,1.10617,1.10626
2024-09-03 01:27:00,1.10626,1.10626,1.10616,1.10618
2024-09-03 01:28:00,1.1062,1.10622,1.10619,1.10621
2024-09-03 01:29:00,1.10622,1.10628,1.10617,1.1062
2024-09-03 01:30:00,1.1062,1.10624,1.10616,1.10618
2024-09-03 01:31:00,1.10619,1.10627,1.10616,1.10617
2024-09-03 01:32:00,1.10617,1.1062,1.10612,1.10613
2024-09-03 01:33:00,1.10614,1.10632,1.10612,1.10622
2024-09-03 01:34:00,1.10623,1.10632,1.10623,1.10632
2024-09-03 01:35:00,1.10632,1.10635,1.1063,1.10631
2024-09-03 01:36:00,1.10632,1.10636,1.10631,1.10633
2024-09-03 01:37:00,1.10632,1.1064,1.10632,1.10637
2024-09-03 01:38:00,1.10636,1.10641,1.10634,1.10638
