date,open,high,low,close
2024-08-18 22:00:00,1.10266,1.10341,1.10252,1.10325
2024-08-18 22:05:00,1.10326,1.10344,1.1031,1.1032
2024-08-18 22:10:00,1.10319,1.10319,1.10303,1.10304
2024-08-18 22:15:00,1.10303,1.10304,1.10269,1.10271
2024-08-18 22:20:00,1.10271,1.10272,1.10256,1.10259
2024-08-18 22:25:00,1.10258,1.10266,1.10252,1.10256
2024-08-18 22:30:00,1.10256,1.10272,1.10251,1.1027
2024-08-18 22:35:00,1.10269,1.10271,1.1026,1.10261
2024-08-18 22:40:00,1.10261,1.10261,1.10246,1.10246
2024-08-18 22:45:00,1.10246,1.1027,1.10246,1.10256
2024-08-18 22:50:00,1.10258,1.1026,1.10248,1.10251
2024-08-18 22:55:00,1.1025,1.10256,1.10248,1.10255
2024-08-18 23:00:00,1.10254,1.10263,1.1025,1.10254
2024-08-18 23:05:00,1.10255,1.10255,1.1024,1.1024
2024-08-18 23:10:00,1.1024,1.10241,1.10235,1.1024
2024-08-18 23:15:00,1.1024,1.10254,1.10238,1.10245
2024-08-18 23:20:00,1.10244,1.10246,1.10235,1.10235
2024-08-18 23:25:00,1.10235,1.10236,1.1023,1.10235
2024-08-18 23:30:00,1.10235,1.10236,1.1023,1.10235
2024-08-18 23:35:00,1.10234,1.10236,1.10232,1.10234
2024-08-18 23:40:00,1.10234,1.10235,1.10228,1.10233
2024-08-18 23:45:00,1.10234,1.1026,1.10232,1.1025
2024-08-18 23:50:00,1.10249,1.10261,1.10244,1.10249
2024-08-18 23:55:00,1.10248,1.1025,1.1024,1.10248
2024-08-19 00:00:00,1.1025,1.10265,1.10234,1.10246
2024-08-19 00:05:00,1.10246,1.1026,1.10235,1.10253
2024-08-19 00:10:00,1.10254,1.10264,1.1025,1.10261
2024-08-19 00:15:00,1.10261,1.10274,1.10258,1.1027
2024-08-19 00:20:00,1.10269,1.1027,1.1026,1.10264
2024-08-19 00:25:00,1.10262,1.10265,1.10239,1.10245
2024-08-19 00:30:00,1.10246,1.10266,1.10246,1.1026
2024-08-19 00:35:00,1.1026,1.10297,1.1026,1.10294
2024-08-19 00:40:00,1.10293,1.10305,1.10284,1.10303
2024-08-19 00:45:00,1.10304,1.1031,1.10298,1.10306
2024-08-19 00:50:00,1.10305,1.10363,1.10304,1.10314
2024-08-19 00:55:00,1.10315,1.10328,1.10304,1.10304
2024-08-19 01:00:00,1.10305,1.10305,1.1029,1.103
2024-08-19 01:05:00,1.103,1.10305,1.10289,1.10292
2024-08-19 01:10:00,1.10292,1.10294,1.1028,1.10281
2024-08-19 01:15:00,1.1028,1.10288,1.10278,1.10285
2024-08-19 01:20:00,1.10285,1.1029,1.10281,1.10289
2024-08-19 01:25:00,1.1029,1.10315,1.10284,1.1031
2024-08-19 01:30:00,1.10312,1.10334,1.10309,1.10328
2024-08-19 01:35:00,1.10328,1.10336,1.10307,1.10314
2024-08-19 01:40:00,1.10315,1.10318,1.10296,1.10296
2024-08-19 01:45:00,1.10296,1.1031,1.10289,1.10308
2024-08-19 01:50:00,1.10308,1.10325,1.10304,1.10306
2024-08-19 01:55:00,1.10308,1.10317,1.10308,1.10312
2024-08-19 02:00:00,1.10312,1.10315,1.10305,1.1031
2024-08-19 02:05:00,1.10311,1.10314,1.10301,1.10314
2024-08-19 02:10:00,1.10313,1.10314,1.10302,1.10307
2024-08-19 02:15:00,1.10308,1.10308,1.103,1.10301
2024-08-19 02:20:00,1.10301,1.10312,1.10301,1.10312
2024-08-19 02:25:00,1.10312,1.10312,1.10302,1.10302
2024-08-19 02:30:00,1.10302,1.10305,1.1029,1.10303
2024-08-19 02:35:00,1.10304,1.10304,1.10294,1.10298
2024-08-19 02:40:00,1.10298,1.10304,1.1029,1.10303
2024-08-19 02:45:00,1.10304,1.10306,1.10299,1.10303
2024-08-19 02:50:00,1.10302,1.10315,1.10298,1.10314
2024-08-19 02:55:00,1.10313,1.1032,1.10308,1.10308
2024-08-19 03:00:00,1.10309,1.10315,1.10301,1.10314
2024-08-19 03:05:00,1.10314,1.10349,1.10314,1.10348
2024-08-19 03:10:00,1.10348,1.10378,1.10345,1.10378
2024-08-19 03:15:00,1.10378,1.10397,1.10374,1.10396
2024-08-19 03:20:00,1.10395,1.10395,1.10375,1.1038
2024-08-19 03:25:00,1.10378,1.10383,1.10363,1.10368
2024-08-19 03:30:00,1.10368,1.10384,1.10368,1.1038
2024-08-19 03:35:00,1.10381,1.10405,1.1038,1.104
2024-08-19 03:40:00,1.10401,1.10404,1.10392,1.104
2024-08-19 03:45:00,1.10399,1.10404,1.10391,1.10394
2024-08-19 03:50:00,1.10394,1.10399,1.10388,1.10395
2024-08-19 03:55:00,1.10394,1.10395,1.10384,1.10392
2024-08-19 04:00:00,1.10392,1.10392,1.10367,1.10386
2024-08-19 04:05:00,1.10386,1.10402,1.10379,1.10399
2024-08-19 04:10:00,1.104,1.10402,1.10398,1.104
2024-08-19 04:15:00,1.10399,1.10402,1.10393,1.104
2024-08-19 04:20:00,1.10399,1.10402,1.1039,1.10395
2024-08-19 04:25:00,1.10396,1.10401,1.10386,1.1039
2024-08-19 04:30:00,1.1039,1.10393,1.1038,1.1039
2024-08-19 04:35:00,1.1039,1.10406,1.10386,1.10404
2024-08-19 04:40:00,1.10404,1.10407,1.104,1.10403
2024-08-19 04:45:00,1.10404,1.10419,1.10402,1.10413
2024-08-19 04:50:00,1.10412,1.10414,1.10398,1.10408
2024-08-19 04:55:00,1.10408,1.1041,1.10395,1.10398
2024-08-19 05:00:00,1.10398,1.10418,1.10398,1.10417
2024-08-19 05:05:00,1.10417,1.10418,1.10399,1.104
2024-08-19 05:10:00,1.104,1.10407,1.10398,1.10407
2024-08-19 05:15:00,1.10406,1.10417,1.10402,1.10417
2024-08-19 05:20:00,1.10417,1.10438,1.10414,1.10419
2024-08-19 05:25:00,1.10418,1.10426,1.10404,1.10413
2024-08-19 05:30:00,1.10414,1.1044,1.10412,1.10438
2024-08-19 05:35:00,1.10439,1.1045,1.10435,1.10447
2024-08-19 05:40:00,1.10448,1.1048,1.10439,1.1048
2024-08-19 05:45:00,1.1048,1.1049,1.10478,1.10489
2024-08-19 05:50:00,1.1049,1.10491,1.10476,1.10484
2024-08-19 05:55:00,1.10485,1.10491,1.10471,1.10476
2024-08-19 06:00:00,1.10476,1.105,1.10451,1.10492
2024-08-19 06:05:00,1.10492,1.10502,1.10492,1.10499
2024-08-19 06:10:00,1.10499,1.10501,1.10486,1.10489
2024-08-19 06:15:00,1.10488,1.10491,1.10473,1.10476
2024-08-19 06:20:00,1.10477,1.10477,1.10452,1.10458
2024-08-19 06:25:00,1.10458,1.1046,1.10409,1.10414
2024-08-19 06:30:00,1.10413,1.10446,1.10411,1.10445
2024-08-19 06:35:00,1.10445,1.10448,1.10417,1.10426
2024-08-19 06:40:00,1.10426,1.10456,1.10426,1.1045
2024-08-19 06:45:00,1.1045,1.1047,1.10448,1.10465
2024-08-19 06:50:00,1.10465,1.10473,1.1045,1.1045
2024-08-19 06:55:00,1.1045,1.10461,1.10415,1.10423
2024-08-19 07:00:00,1.10422,1.10432,1.10411,1.10424
2024-08-19 07:05:00,1.10424,1.10428,1.10405,1.10414
2024-08-19 07:10:00,1.10413,1.10427,1.10407,1.10418
2024-08-19 07:15:00,1.10418,1.10444,1.10408,1.10438
2024-08-19 07:20:00,1.10438,1.10458,1.10428,1.10428
2024-08-19 07:25:00,1.1043,1.10439,1.10422,1.10429
2024-08-19 07:30:00,1.1043,1.1043,1.10413,1.10429
2024-08-19 07:35:00,1.10428,1.10432,1.10418,1.10424
2024-08-19 07:40:00,1.10425,1.10432,1.10409,1.10413
2024-08-19 07:45:00,1.10414,1.10448,1.10408,1.10448
2024-08-19 07:50:00,1.10448,1.10473,1.10444,1.10461
2024-08-19 07:55:00,1.1046,1.1047,1.10426,1.10428
2024-08-19 08:00:00,1.10429,1.10448,1.10413,1.10444
2024-08-19 08:05:00,1.10445,1.10455,1.1044,1.10454
2024-08-19 08:10:00,1.10454,1.10474,1.10452,1.10466
2024-08-19 08:15:00,1.10465,1.10489,1.10458,1.10489
2024-08-19 08:20:00,1.10489,1.10506,1.10488,1.10489
2024-08-19 08:25:00,1.1049,1.10491,1.10471,1.10484
2024-08-19 08:30:00,1.10485,1.10491,1.10443,1.10445
2024-08-19 08:35:00,1.10444,1.10446,1.10409,1.10414
2024-08-19 08:40:00,1.10415,1.10422,1.10369,1.1039
2024-08-19 08:45:00,1.10391,1.10402,1.10366,1.10378
2024-08-19 08:50:00,1.10378,1.10388,1.10358,1.10384
2024-08-19 08:55:00,1.10384,1.10394,1.10372,1.10374
2024-08-19 09:00:00,1.10373,1.10402,1.10368,1.10374
2024-08-19 09:05:00,1.10374,1.1038,1.10368,1.1037
2024-08-19 09:10:00,1.1037,1.10378,1.10359,1.10372
2024-08-19 09:15:00,1.10372,1.10379,1.10358,1.10375
2024-08-19 09:20:00,1.10374,1.1038,1.10358,1.10358
2024-08-19 09:25:00,1.10359,1.10382,1.10354,1.1038
2024-08-19 09:30:00,1.10381,1.10401,1.10378,1.104
2024-08-19 09:35:00,1.104,1.10408,1.10396,1.10408
2024-08-19 09:40:00,1.10407,1.10414,1.1038,1.10398
2024-08-19 09:45:00,1.10398,1.104,1.10385,1.10392
2024-08-19 09:50:00,1.10392,1.10392,1.10375,1.10379
2024-08-19 09:55:00,1.10378,1.10382,1.10346,1.10353
2024-08-19 10:00:00,1.10353,1.10364,1.10341,1.10363
2024-08-19 10:05:00,1.10363,1.10364,1.10344,1.10355
2024-08-19 10:10:00,1.10355,1.10356,1.10329,1.1033
2024-08-19 10:15:00,1.10329,1.10335,1.10312,1.10332
2024-08-19 10:20:00,1.10332,1.1034,1.1031,1.1032
2024-08-19 10:25:00,1.1032,1.10336,1.10312,1.1033
2024-08-19 10:30:00,1.1033,1.10353,1.1033,1.10353
2024-08-19 10:35:00,1.10354,1.10372,1.10348,1.1037
2024-08-19 10:40:00,1.1037,1.10374,1.10364,1.10368
2024-08-19 10:45:00,1.10368,1.10368,1.10356,1.1036
2024-08-19 10:50:00,1.10362,1.10384,1.1036,1.10362
2024-08-19 10:55:00,1.10363,1.10372,1.10352,1.1037
2024-08-19 11:00:00,1.1037,1.10386,1.10354,1.1038
2024-08-19 11:05:00,1.10379,1.10379,1.10355,1.10355
2024-08-19 11:10:00,1.10355,1.10366,1.10348,1.10354
2024-08-19 11:15:00,1.10355,1.10366,1.10352,1.10354
2024-08-19 11:20:00,1.10355,1.10369,1.10338,1.10364
2024-08-19 11:25:00,1.10363,1.1038,1.10353,1.10357
2024-08-19 11:30:00,1.10358,1.1036,1.10334,1.10334
2024-08-19 11:35:00,1.10334,1.10347,1.10328,1.10334
2024-08-19 11:40:00,1.10334,1.10357,1.10334,1.10352
2024-08-19 11:45:00,1.10353,1.10399,1.10352,1.10394
2024-08-19 11:50:00,1.10393,1.10418,1.10391,1.1041
2024-08-19 11:55:00,1.1041,1.10438,1.1041,1.10424
2024-08-19 12:00:00,1.10425,1.10443,1.10425,1.10438
2024-08-19 12:05:00,1.1044,1.10445,1.10407,1.10407
2024-08-19 12:10:00,1.10407,1.10415,1.10396,1.10413
2024-08-19 12:15:00,1.10414,1.1042,1.10409,1.10414
2024-08-19 12:20:00,1.10414,1.10421,1.10408,1.10418
2024-08-19 12:25:00,1.10418,1.10421,1.1038,1.1038
2024-08-19 12:30:00,1.1038,1.10384,1.10363,1.10363
2024-08-19 12:35:00,1.10363,1.10374,1.10348,1.1036
2024-08-19 12:40:00,1.1036,1.1037,1.10346,1.10366
2024-08-19 12:45:00,1.10366,1.10401,1.10361,1.10389
2024-08-19 12:50:00,1.1039,1.10392,1.10357,1.10365
2024-08-19 12:55:00,1.10366,1.10392,1.10364,1.1039
2024-08-19 13:00:00,1.1039,1.1039,1.10343,1.10348
2024-08-19 13:05:00,1.10348,1.1035,1.10308,1.10319
2024-08-19 13:10:00,1.1032,1.10343,1.10304,1.10343
2024-08-19 13:15:00,1.10343,1.10374,1.10336,1.10368
2024-08-19 13:20:00,1.10369,1.10386,1.10358,1.10374
2024-08-19 13:25:00,1.10374,1.10374,1.10336,1.10348
2024-08-19 13:30:00,1.10348,1.10354,1.10332,1.10342
2024-08-19 13:35:00,1.10343,1.10345,1.10321,1.10328
2024-08-19 13:40:00,1.10328,1.10342,1.10319,1.10338
2024-08-19 13:45:00,1.10338,1.10382,1.10336,1.10374
