Date,Gmt time,open,high,low,close,volume
2024.03.19,16:58,1.08505,1.08511,1.08499,1.08503,60
2024.03.19,16:59,1.08503,1.08516,1.08493,1.08516,62
2024.03.19,17:00,1.08515,1.0853,1.0851,1.08529,54
2024.03.19,17:01,1.08529,1.08536,1.08524,1.08534,56
2024.03.19,17:02,1.08534,1.08555,1.08528,1.08555,69
2024.03.19,17:03,1.08554,1.0857,1.08551,1.08566,45
2024.03.19,17:04,1.08566,1.08566,1.08551,1.08551,53
2024.03.19,17:05,1.0855,1.08556,1.08539,1.08545,50
2024.03.19,17:06,1.08546,1.0856,1.08544,1.08549,56
2024.03.19,17:07,1.08549,1.08552,1.08544,1.08545,24
2024.03.19,17:08,1.08545,1.08553,1.08545,1.08553,44
2024.03.19,17:09,1.08552,1.08555,1.0854,1.08541,47
2024.03.19,17:10,1.08541,1.08541,1.08535,1.08541,39
2024.03.19,17:11,1.08541,1.08544,1.08534,1.08537,33
2024.03.19,17:12,1.08536,1.08538,1.08525,1.08525,54
2024.03.19,17:13,1.08524,1.08531,1.08519,1.08519,58
2024.03.19,17:14,1.08519,1.08535,1.08518,1.08535,51
2024.03.19,17:15,1.08537,1.08537,1.08528,1.08529,27
2024.03.19,17:16,1.08529,1.08539,1.08527,1.08537,43
2024.03.19,17:17,1.08538,1.0854,1.0853,1.0853,45
2024.03.19,17:18,1.08526,1.08531,1.08519,1.08521,53
2024.03.19,17:19,1.08524,1.08536,1.08524,1.08531,32
2024.03.19,17:20,1.08532,1.08539,1.0853,1.0853,38
2024.03.19,17:21,1.0853,1.08533,1.08527,1.0853,37
2024.03.19,17:22,1.08531,1.08545,1.08531,1.08541,40
2024.03.19,17:23,1.08541,1.08544,1.08534,1.08534,50
2024.03.19,17:24,1.08534,1.08541,1.08532,1.08541,34
2024.03.19,17:25,1.08541,1.08541,1.0853,1.08535,29
2024.03.19,17:26,1.08535,1.08554,1.08534,1.08554,34
2024.03.19,17:27,1.08555,1.0856,1.08552,1.0856,35
2024.03.19,17:28,1.0856,1.08561,1.08544,1.08546,41
2024.03.19,17:29,1.08546,1.08546,1.08536,1.08539,47
2024.03.19,17:30,1.08537,1.08537,1.08519,1.0852,45
2024.03.19,17:31,1.08524,1.08534,1.08524,1.08533,67
2024.03.19,17:32,1.08533,1.0854,1.08526,1.08535,44
2024.03.19,17:33,1.08536,1.0855,1.08534,1.08537,38
2024.03.19,17:34,1.08538,1.08549,1.08538,1.08545,43
2024.03.19,17:35,1.08544,1.0856,1.0854,1.08555,70
2024.03.19,17:36,1.08554,1.08555,1.08544,1.08544,49
2024.03.19,17:37,1.08544,1.08545,1.08538,1.08545,41
2024.03.19,17:38,1.08545,1.08545,1.08524,1.08529,57
2024.03.19,17:39,1.08529,1.0854,1.08525,1.08529,19
2024.03.19,17:40,1.08529,1.08534,1.08514,1.08522,45
2024.03.19,17:41,1.08521,1.08529,1.08521,1.08526,45
2024.03.19,17:42,1.08526,1.08526,1.0851,1.08513,30
2024.03.19,17:43,1.08513,1.08515,1.08499,1.08504,37
2024.03.19,17:44,1.08504,1.08504,1.08493,1.08493,36
2024.03.19,17:45,1.08493,1.0852,1.08493,1.08519,54
2024.03.19,17:46,1.08519,1.0852,1.0851,1.08514,31
2024.03.19,17:47,1.08519,1.08524,1.08509,1.08509,37
2024.03.19,17:48,1.08509,1.08524,1.08508,1.08522,52
2024.03.19,17:49,1.08522,1.08523,1.08512,1.0852,50
2024.03.19,17:50,1.0852,1.08529,1.08519,1.08527,56
